Larger Graph #2
50
147
1	8	12
1	35	1
2	15	3
2	46	8
2	22	9
2	23	10
2	23	6
2	50	4
3	20	1
3	26	12
3	34	3
4	5	4
4	18	6
4	28	7
4	37	2
4	43	2
5	18	1
5	18	4
5	28	7
6	44	3
7	14	9
7	14	12
7	29	1
7	29	3
8	42	4
8	45	7
9	20	8
9	49	3
10	19	1
10	12	5
10	31	3
10	47	4
11	1	4	
11	8	3
11	29	7
11	29	6
11	29	4
11	30	5
11	30	9
11	35	11
11	42	10
12	22	3
12	31	5
13	10	7
13	12	9	
13	22	3
13	22	4
13	27	6
14	23	7
14	24	9
14	48	8
15	9	4
15	22	6
15	49	6
16	9	7
16	35	6
16	50	3
17	10	2
18	21	6
18	25	8
18	39	7
19	7	9
19	29	11
19	33	2
19	43	3
20	16	17
20	41	2
21	4	3
21	36	7
21	39	8
21	47	4
23	7	9
24	12	11
24	22	3
24	23	5
25	5	4
25	6	5
25	39	1
25	44	6
26	3	9
26	35	8
27	10	5
27	13	4
27	17	2
28	6	5
28	25	9
28	33	11
28	32	15
28	43	2
29	23	3
29	30	6
29	40	8
29	45	8
30	23	6
30	50	7
31	24	5
31	38	3
32	19	4
32	33	7
33	6	1
33	7	10
33	14	11
33	38	3
33	48	4
34	3	5
34	9	6
34	20	7
35	3	8
35	20	9
35	41	10
36	10	11
36	38	10
36	47	9
37	21	8
37	43	7
38	6	6
38	10	5
38	36	4
38	48	3
38	48	2
39	36	4
39	38	6
39	14	8
40	19	10
40	43	9
41	16	7
42	29	5
42	45	3
43	32	2
44	38	4
44	39	6
45	40	8
46	9	10
46	15	12
46	15	11
46	16	9
46	50	7
47	17	5
48	24	3
48	31	1
49	13	2
49	22	4
49	34	6
49	34	8
50	35	10
50	23	12
50	5	3

